fdc_id,source,version,url,description,display_name,preparation,aliases,kcal,protein_g,fat_g,carbs_g,energy_nutrient_id
171037,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171037/nutrients,"Salad Dressing, mayonnaise, light, SMART BALANCE, Omega Plus light","Salad Dressing, mayonnaise, light, SMART BALANCE, Omega Plus light",,,333,1.53,34.18,9.39,1008
171009,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171009/nutrients,"Salad dressing, mayonnaise, regular","Salad dressing, mayonnaise, regular",,,680,0.96,74.85,0.57,1008
171010,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171010/nutrients,"Salad dressing, mayonnaise, soybean and safflower oil, with salt","Salad dressing, mayonnaise, soybean and safflower oil, with salt",,,717,1.1,79.4,2.7,1008
171418,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171418/nutrients,"Salad dressing, mayonnaise, soybean oil, without salt","Salad dressing, mayonnaise, soybean oil, without salt",,,717,1.1,79.4,2.7,1008
167700,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/167700/nutrients,"Salad Dressing, mayonnaise-like, fat-free","Salad Dressing, mayonnaise-like, fat-free",,,84,0.2,2.7,15.5,1008
171444,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171444/nutrients,"Salad dressing, mayonnaise-type, light","Salad dressing, mayonnaise-type, light",,,158,0.65,10,16.4,1008
168093,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/168093/nutrients,"Salad dressing, peppercorn dressing, commercial, regular","Salad dressing, peppercorn dressing, commercial, regular",,,564,1.2,61.4,3.5,1008
171044,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171044/nutrients,"Salad dressing, poppyseed, creamy","Salad dressing, poppyseed, creamy",,,399,0.92,33.33,23.73,1008
173591,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/173591/nutrients,"Salad dressing, ranch dressing, fat-free","Salad dressing, ranch dressing, fat-free",,,119,0.25,1.92,26.51,1008
173593,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/173593/nutrients,"Salad dressing, ranch dressing, reduced fat","Salad dressing, ranch dressing, reduced fat",,,196,1.25,12.42,21.33,1008
173592,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/173592/nutrients,"Salad dressing, ranch dressing, regular","Salad dressing, ranch dressing, regular",,,430,1.32,44.54,5.9,1008
171005,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171005/nutrients,"Salad dressing, russian dressing","Salad dressing, russian dressing",,,355,0.69,26.18,31.9,1008
171007,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171007/nutrients,"Salad dressing, russian dressing, low calorie","Salad dressing, russian dressing, low calorie",,,141,0.5,4,27.6,1008
171006,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171006/nutrients,"Salad dressing, sesame seed dressing, regular","Salad dressing, sesame seed dressing, regular",,,443,3.1,45.2,8.6,1008
171036,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171036/nutrients,"Salad dressing, spray-style dressing, assorted flavors","Salad dressing, spray-style dressing, assorted flavors",,,165,0.16,10.75,16.6,1008
169875,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/169875/nutrients,"Salad dressing, sweet and sour","Salad dressing, sweet and sour",,,15,0.1,0,3.7,1008
172356,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/172356/nutrients,"Salad dressing, thousand island dressing, fat-free","Salad dressing, thousand island dressing, fat-free",,,132,0.55,1.45,29.27,1008
171008,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171008/nutrients,"Salad dressing, thousand island dressing, reduced fat","Salad dressing, thousand island dressing, reduced fat",,,195,0.83,11.32,24.06,1008
171402,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171402/nutrients,"Salad dressing, thousand island, commercial, regular","Salad dressing, thousand island, commercial, regular",,,379,1.09,35.06,14.64,1008
172935,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/172935/nutrients,"Salami, cooked, beef","Salami, cooked, beef",cooked,,261,12.6,22.2,1.9,1008
172936,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/172936/nutrients,"Salami, cooked, beef and pork","Salami, cooked, beef and pork",cooked,,336,21.85,25.9,2.4,1008
172937,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/172937/nutrients,"Salami, cooked, turkey","Salami, cooked, turkey",cooked,,172,19.2,9.21,1.55,1008
172938,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/172938/nutrients,"Salami, dry or hard, pork","Salami, dry or hard, pork",,,407,22.58,33.72,1.6,1008
174582,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174582/nutrients,"Salami, dry or hard, pork, beef","Salami, dry or hard, pork, beef",,,378,21.07,31.65,0.72,1008
174603,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174603/nutrients,"Salami, Italian, pork","Salami, Italian, pork",,,425,21.7,37,1.2,1008
172966,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/172966/nutrients,"Salami, Italian, pork and beef, dry, sliced, 50% less sodium","Salami, Italian, pork and beef, dry, sliced, 50% less sodium",,,350,21.8,26.4,6.4,1008
174598,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174598/nutrients,"Salami, pork, beef, less sodium","Salami, pork, beef, less sodium",,,396,15.01,30.5,15.38,1008
168965,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/168965/nutrients,"Salisbury steak with gravy, frozen","Salisbury steak with gravy, frozen",frozen,,149,6.98,10.47,6.78,1008
